Year,Kilometres,Cylinders,EngineLiters,Fuel100KM,FuelType_Diesel,FuelType_Hybrid,FuelType_LPG,FuelType_Premium,FuelType_Unleaded,Transmission_Automatic,Transmission_Manual,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear
2015,0.6880158915101559,6.0,3.0,8.8,1,0,0,0,0,1,0,0,0,0,0
2014,0.5331473099541999,4.0,2.0,5.8,0,0,0,0,1,1,0,0,1,0,0
2021,0.3841128867576039,4.0,1.8,4.2,0,1,0,0,0,1,0,0,1,0,0
2017,0.6487597748953946,4.0,2.5,8.5,0,0,0,0,1,1,0,1,0,0,0
2022,0.2172684576830892,4.0,2.5,7.5,0,0,0,0,1,1,0,1,0,0,0
2005,0.8108547416740108,4.0,1.5,7.5,0,0,0,0,1,1,0,0,1,0,0
2018,0.6021591217099449,4.0,2.8,9.1,1,0,0,0,0,1,0,0,0,0,0
2014,0.81013458255374,5.0,2.4,9.6,1,0,0,0,0,1,0,1,0,0,0
2015,0.5915375352412771,4.0,2.0,7.2,0,0,0,1,0,1,0,1,0,0,0
2014,0.7178540365202115,6.0,3.5,10.2,0,0,0,0,1,1,0,0,1,0,0
2020,0.4532801005803409,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2019,0.4331844592991446,4.0,1.4,5.4,0,0,0,1,0,1,0,0,1,0,0
2017,0.6259330113102675,4.0,2.5,5.2,0,1,0,0,0,1,0,0,1,0,0
2021,0.25516549440898,4.0,2.0,8.2,0,0,0,1,0,1,0,0,0,0,1
2021,0.3142188564653826,4.0,1.5,6.7,0,0,0,1,0,1,0,0,1,0,0
2018,0.5668579932418863,4.0,2.0,5.7,1,0,0,0,0,1,0,0,1,0,0
2015,0.7668550361267523,6.0,2.7,8.2,1,0,0,0,0,1,0,0,0,0,1
2021,0.2945765815305187,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2010,0.5847609596950533,6.0,3.5,11.6,0,0,0,0,1,1,0,0,1,0,0
2020,0.4431381601660937,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2011,0.7777173675481079,4.0,2.0,7.9,0,0,0,0,1,0,1,0,1,0,0
2011,0.6330989067034952,4.0,2.0,8.7,0,0,0,1,0,0,1,0,0,0,0
2012,0.5161067108427767,4.0,1.6,6.1,0,0,0,0,1,1,0,0,1,0,0
2019,0.3841084582316776,4.0,1.8,6.9,0,0,0,0,1,1,0,0,1,0,0
2015,0.8230535495328222,4.0,2.8,8.9,1,0,0,0,0,1,0,0,0,0,1
2016,0.6819557615676854,4.0,2.5,7.9,0,0,0,0,1,1,0,0,1,0,0
2017,0.532278537753139,4.0,1.4,6.9,0,0,0,0,1,1,0,0,1,0,0
2019,0.5016634819469388,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2018,0.3279360384309646,3.0,1.0,5.2,0,0,0,0,1,1,0,0,1,0,0
2018,0.68232998094522,4.0,2.0,8.4,0,0,0,1,0,1,0,1,0,0,0
2018,0.8988108894190789,4.0,2.2,7.8,1,0,0,0,0,1,0,0,0,0,1
2015,0.6536033502461158,4.0,2.0,6.4,0,0,0,0,1,1,0,0,1,0,0
2021,0.4135898003288621,4.0,2.0,7.6,0,0,0,0,1,1,0,0,1,0,0
2019,0.433998407551794,4.0,2.5,7.5,0,0,0,0,1,1,0,1,0,0,0
2016,0.4984161171911373,4.0,2.0,7.2,0,0,0,0,1,1,0,0,1,0,0
2017,0.509792218543745,4.0,2.8,8.6,1,0,0,0,0,1,0,0,0,0,0
2013,0.4492717704202935,8.0,6.0,12.3,0,0,0,0,1,0,1,0,0,0,1
2014,0.7967511791107795,4.0,2.5,8.5,0,0,0,0,1,1,0,1,0,0,0
2013,0.6530784318499155,4.0,3.0,8.5,1,0,0,0,0,1,0,0,0,0,0
2023,0.0037217813903303,4.0,2.2,8.3,1,0,0,0,0,0,1,0,0,0,0
2015,0.7676342685217499,4.0,2.0,8.5,1,0,0,0,0,1,0,0,1,0,0
2018,0.5776112627920916,4.0,2.5,8.3,0,0,0,0,1,1,0,0,0,0,0
2019,0.3443948635015128,6.0,3.6,9.1,0,0,0,1,0,1,0,1,0,0,0
2006,0.7154290770542076,4.0,2.5,9.7,0,0,0,0,1,1,0,1,0,0,0
2020,0.4595999983367395,4.0,1.2,4.8,0,0,0,0,1,1,0,0,1,0,0
2017,0.5955429914404897,4.0,1.4,5.4,0,0,0,1,0,1,0,0,1,0,0
2016,0.3674194040211455,4.0,2.5,7.9,0,0,0,0,1,1,0,0,1,0,0
2022,0.0052891290118827,4.0,2.0,5.8,0,0,0,1,0,1,0,0,1,0,0
2019,0.5128473356166805,4.0,2.5,7.9,0,0,0,0,1,1,0,0,1,0,0
2022,0.0037217813903303,4.0,1.5,6.7,0,0,0,1,0,1,0,0,1,0,0
2016,0.8194624117874673,4.0,1.4,6.2,0,0,0,0,1,1,0,0,1,0,0
2023,0.0037217813903303,4.0,2.0,8.1,0,0,0,0,1,1,0,0,1,0,0
2014,0.5078549166557578,2.0,0.9,4.2,0,0,0,1,0,0,1,0,1,0,0
2018,0.565392105957984,4.0,2.2,6.5,1,0,0,0,0,1,0,1,0,0,0
2009,0.877923432737334,6.0,3.6,12.2,0,0,0,0,1,1,0,0,0,0,1
2019,0.5556763259410769,4.0,2.5,8.8,1,0,0,0,0,1,0,0,0,0,1
2022,0.2220633135742969,4.0,2.5,7.5,0,0,0,0,1,1,0,0,1,0,0
2020,0.3134406665923896,4.0,2.5,4.8,0,1,0,0,0,1,0,1,0,0,0
2019,0.6647966250049879,4.0,2.4,7.7,1,0,0,0,0,0,1,0,0,0,1
2018,0.6804987353873775,4.0,2.5,7.4,0,0,0,0,1,1,0,1,0,0,0
2019,0.3315477716012149,6.0,3.3,10.2,0,0,0,0,1,1,0,0,0,0,1
2012,0.7157900763006442,4.0,1.6,6.4,0,0,0,0,1,1,0,0,1,0,0
2014,0.8423917759010398,5.0,3.2,9.2,1,0,0,0,0,1,0,0,0,0,0
2017,0.6542023620074255,4.0,1.6,6.6,0,0,0,0,1,1,0,0,1,0,0
2013,0.820161950214516,6.0,4.0,11.7,0,0,0,0,1,1,0,0,0,0,1
2014,0.6799802406999522,4.0,1.4,5.8,0,0,0,1,0,0,1,0,1,0,0
2016,0.4807427254765395,4.0,2.3,5.8,1,0,0,0,0,1,0,1,0,0,0
2018,0.7471081126560073,4.0,2.8,8.8,1,0,0,0,0,1,0,0,0,0,1
2021,0.3999778626895572,4.0,2.5,7.7,0,0,0,0,1,1,0,0,1,0,0
2016,0.4152986342266626,4.0,2.0,5.9,1,0,0,0,0,1,0,1,0,0,0
2020,0.4348654242175175,4.0,2.4,8.6,1,0,0,0,0,1,0,0,0,0,0
2007,0.8656252194003595,4.0,2.5,9.7,0,0,0,0,1,1,0,1,0,0,0
2013,0.6210120750688094,6.0,4.0,10.6,0,0,0,0,1,1,0,0,0,0,1
2011,0.5398959480167649,4.0,2.0,7.5,1,0,0,0,0,1,0,1,0,0,0
2017,0.6301288151816111,4.0,1.6,7.1,0,0,0,0,1,1,0,0,1,0,0
2020,0.4754090878752812,5.0,3.2,8.7,1,0,0,0,0,1,0,0,0,0,0
2007,0.9993858771691464,4.0,2.4,10.9,0,0,0,0,1,0,1,0,0,0,1
2019,0.5584418509504868,4.0,2.4,6.8,0,0,0,0,1,1,0,0,1,0,0
2019,0.4416929275035306,4.0,2.0,7.9,0,0,0,0,1,1,0,0,1,0,0
2019,0.4857553047126113,4.0,2.2,7.5,1,0,0,0,0,1,0,1,0,0,0
2014,0.7398563546471186,5.0,2.4,6.9,1,0,0,0,0,1,0,1,0,0,0
2023,0.0080865782477949,4.0,2.2,8.6,1,0,0,0,0,1,0,0,0,0,0
2022,0.004548391733008,4.0,1.4,7.7,0,0,0,1,0,1,0,0,1,0,0
2016,0.5356504044314535,6.0,4.0,11.4,0,0,0,1,0,1,0,0,0,0,0
2018,0.7206733725919818,4.0,2.8,8.5,1,0,0,0,0,1,0,0,0,0,0
2012,0.8772596322206409,4.0,2.0,7.5,1,0,0,0,0,1,0,1,0,0,0
2014,0.7036505792410523,4.0,2.2,7.6,1,0,0,0,0,0,1,0,0,0,1
2019,0.452104286905704,4.0,2.5,8.1,0,0,0,0,1,1,0,0,1,0,0
2020,0.3179303808786811,4.0,1.2,6.4,0,0,0,1,0,1,0,0,1,0,0
2022,0.0710914900161892,4.0,2.4,7.9,0,0,0,0,1,1,0,0,0,0,0
2014,0.4384823602518747,4.0,2.0,5.8,0,0,0,0,1,1,0,0,1,0,0
2018,0.5481507383936572,4.0,2.2,7.5,1,0,0,0,0,1,0,1,0,0,0
2022,0.0016131537138541,4.0,2.5,6.6,0,0,0,0,1,1,0,0,1,0,0
2011,0.5610190492417487,4.0,1.5,6.4,0,0,0,0,1,0,1,0,1,0,0
2019,0.5236613970634699,4.0,2.4,6.8,0,0,0,0,1,1,0,0,1,0,0
2020,0.5772229219749687,4.0,2.4,7.2,0,0,0,0,1,1,0,1,0,0,0
2002,0.8955475267366098,6.0,3.5,14.6,0,0,0,0,1,1,0,0,0,0,0
2021,0.2156408119246081,3.0,1.6,7.6,0,0,0,1,0,0,1,1,0,0,0
2021,0.3638568604205,3.0,1.0,5.4,0,0,0,1,0,1,0,0,1,0,0
2008,0.8372304225570264,8.0,4.7,15.5,0,0,0,1,0,1,0,0,0,0,0
2011,0.6111394396675067,4.0,2.5,9.1,1,0,0,0,0,1,0,0,0,0,1
2021,0.437955902958999,4.0,2.0,6.2,0,0,0,0,1,1,0,0,1,0,0
2015,0.6112578980598261,4.0,1.6,7.7,0,0,0,0,1,1,0,1,0,0,0
2020,0.5592690827810314,5.0,3.2,8.2,1,0,0,0,0,1,0,0,0,0,1
2022,0.1177328074711465,4.0,2.4,8.5,0,0,0,1,0,1,0,1,0,0,0
2012,0.8164656269186575,6.0,3.5,10.9,0,0,0,0,1,1,0,0,1,0,0
2018,0.3500305086463524,4.0,2.0,7.8,0,0,0,1,0,0,1,0,0,0,1
2018,0.5541527717719684,6.0,3.6,8.9,0,0,0,0,1,1,0,1,0,0,0
2020,0.4160585369306318,4.0,2.3,6.2,1,0,0,0,0,1,0,1,0,0,0
2016,0.568524745042872,3.0,1.0,4.4,0,0,0,1,0,1,0,0,1,0,0
2014,0.445675774671793,4.0,2.5,8.1,0,0,0,0,1,1,0,1,0,0,0
2016,0.6280639707422118,4.0,2.7,10.9,0,0,0,0,1,1,0,0,0,0,1
2016,0.5106272856375338,4.0,2.1,5.4,1,0,0,0,0,1,0,0,0,0,1
2014,0.8232627402796111,4.0,2.0,8.4,0,0,0,0,1,0,1,0,1,0,0
2015,0.4874700110258912,4.0,1.2,5.2,0,0,0,0,1,1,0,0,1,0,0
2019,0.6653701713745475,4.0,2.0,7.1,1,0,0,0,0,1,0,0,0,0,0
2012,0.5736569672075456,4.0,2.2,5.7,1,0,0,0,0,1,0,1,0,0,0
2010,0.6035197705550835,4.0,2.0,8.3,0,0,0,0,1,1,0,0,1,0,0
2016,0.5875471629696999,4.0,1.8,7.6,0,0,0,0,1,1,0,0,1,0,0
2010,0.7811130715363018,4.0,2.3,9.5,0,0,0,0,1,1,0,0,1,0,0
2009,0.963962931342911,6.0,3.6,10.7,0,0,0,0,1,1,0,0,0,0,1
2009,0.7634667549421771,4.0,2.0,7.9,0,0,0,0,1,0,1,0,1,0,0
2019,0.2746866168514047,4.0,2.0,7.6,0,0,0,0,1,1,0,0,1,0,0
2022,0.2648211779788899,5.0,3.2,8.5,1,0,0,0,0,1,0,0,0,0,0
2011,0.7701367364548835,4.0,3.0,10.9,1,0,0,0,0,0,1,0,0,0,0
2018,0.5410830896986001,4.0,2.0,7.6,0,0,0,0,1,1,0,0,1,0,0
2017,0.658142355988807,4.0,2.0,7.9,0,0,0,0,1,1,0,0,1,0,0
2017,0.4973220421313646,4.0,2.0,5.5,0,0,0,1,0,1,0,0,1,0,0
2021,0.2714323608227052,3.0,1.0,5.3,0,0,0,1,0,1,0,0,1,0,0
2018,0.481129932842281,4.0,1.8,6.1,0,0,0,0,1,1,0,0,1,0,0
2021,0.212136948901683,4.0,2.5,7.4,0,0,0,0,1,1,0,1,0,0,0
2017,0.6845512749542424,4.0,3.0,7.9,1,0,0,0,0,1,0,0,0,0,0
2009,0.7577696587851528,4.0,2.0,7.8,0,0,0,1,0,1,0,0,1,0,0
2016,0.5994227222311249,6.0,3.0,7.6,0,0,0,1,0,1,0,0,0,0,1
2017,0.4778000993891219,4.0,1.2,4.9,0,0,0,1,0,1,0,0,1,0,0
2020,0.3472439804345898,4.0,2.0,7.2,0,0,0,0,1,1,0,0,1,0,0
2013,0.59244267182275,4.0,2.5,8.1,0,0,0,0,1,1,0,1,0,0,0
2023,0.0061801278843698,4.0,2.0,9.4,1,0,0,0,0,1,0,0,0,0,0
2019,0.1193082426370252,4.0,2.0,6.2,0,0,0,0,1,1,0,0,1,0,0
2022,0.2265658821842838,4.0,2.5,4.7,0,1,0,0,0,1,0,0,1,0,0
2016,0.40555153194631,4.0,2.0,6.9,0,0,0,0,1,1,0,0,1,0,0
2022,0.0027705026230676,4.0,2.5,7.5,0,0,0,0,1,1,0,0,1,0,0
2019,0.3815221559524702,4.0,2.0,6.1,0,0,0,1,0,1,0,0,1,0,0
2016,0.8373322128088138,4.0,1.6,6.2,1,0,0,0,0,0,1,0,1,0,0
2023,0.0584181238181168,4.0,2.5,6.6,0,0,0,0,1,1,0,0,1,0,0
2018,0.5099845403717519,4.0,3.0,8.7,1,0,0,0,0,1,0,0,0,0,1
2016,0.5777367594666643,4.0,2.0,7.9,0,0,0,1,0,1,0,1,0,0,0
2010,0.7617602291242864,6.0,4.0,12.7,0,0,0,0,1,0,1,0,0,0,1
2023,0.0065932440856379,4.0,2.2,8.6,1,0,0,0,0,1,0,0,0,0,0
2021,0.414549599900223,4.0,2.0,6.2,0,0,0,0,1,1,0,0,1,0,0
2016,0.6231386502037837,6.0,3.0,7.3,1,0,0,0,0,1,0,1,0,0,0
2010,0.7559169993361851,6.0,3.5,11.6,0,0,0,0,1,1,0,0,1,0,0
2018,0.5422364369808481,4.0,2.8,8.5,1,0,0,0,0,1,0,0,0,0,0
2020,0.451954277306648,4.0,1.4,6.2,0,0,0,0,1,1,0,0,1,0,0
2010,0.8360899040422048,6.0,4.0,10.1,0,0,0,0,1,1,0,0,0,0,1
2012,0.919290348254283,6.0,4.0,11.8,0,0,0,0,1,1,0,0,0,0,1
2011,0.5168888427515121,6.0,3.6,10.1,0,0,0,1,0,1,0,1,0,0,0
2016,0.8366773401761993,4.0,2.8,8.9,1,0,0,0,0,1,0,0,0,0,1
2015,0.9068219459583304,4.0,3.0,8.1,1,0,0,0,0,0,1,0,0,0,1
2021,0.3166172447065696,4.0,2.0,7.4,0,0,0,0,1,1,0,0,0,0,1
2005,0.7498171076241087,6.0,3.8,10.8,0,0,0,0,1,1,0,0,1,0,0
2019,0.379232037544427,4.0,2.0,8.1,0,0,0,1,0,1,0,0,1,0,0
2017,0.6004391459502036,4.0,2.4,8.5,1,0,0,0,0,1,0,0,0,0,0
2022,0.2996971475902029,4.0,1.5,6.7,0,0,0,1,0,1,0,0,1,0,0
2014,0.5365859866528341,4.0,1.4,4.7,0,0,0,1,0,1,0,0,1,0,0
2014,0.6868336708181667,4.0,2.0,5.7,0,0,0,0,1,1,0,0,1,0,0
2022,0.1419178339019272,4.0,1.5,6.3,0,0,0,0,1,1,0,0,1,0,0
2020,0.3929329527130947,6.0,3.3,10.8,0,0,0,0,1,1,0,0,1,0,0
2014,0.5381259040477476,4.0,2.0,6.1,0,0,0,1,0,1,0,0,1,0,0
2006,0.8458911261368642,4.0,2.3,8.9,0,0,0,1,0,1,0,0,1,0,0
2022,0.2389851418162841,4.0,2.5,8.1,0,0,0,0,1,1,0,1,0,0,0
2019,0.4541879111045974,3.0,1.0,6.7,0,0,0,0,1,1,0,0,1,0,0
2020,0.3180431385167601,4.0,2.0,7.9,0,0,0,0,1,1,0,0,1,0,0
2014,0.5835230924058183,4.0,2.0,6.6,0,0,0,1,0,1,0,0,1,0,0
2018,0.612520911906701,4.0,2.0,6.9,0,0,0,0,1,1,0,0,1,0,0
2022,0.0436609875552894,4.0,2.0,8.3,0,0,0,1,0,0,0,1,0,0,0
2014,0.4794873908714708,4.0,2.0,6.6,0,0,0,1,0,1,0,0,1,0,0
2015,0.59155177791321,4.0,2.0,7.3,0,0,0,1,0,0,1,0,1,0,0
2019,0.4396220948437307,4.0,2.0,7.6,0,0,0,1,0,1,0,0,1,0,0
2019,0.4069651301973732,4.0,2.0,6.9,0,0,0,0,1,1,0,0,1,0,0
2013,0.8959442424580797,6.0,3.5,10.2,0,0,0,1,0,1,0,0,0,0,0
2013,0.5556702523823407,4.0,1.4,6.4,0,0,0,0,1,1,0,0,1,0,0
2017,0.5504522747143876,8.0,6.2,12.4,0,0,0,0,1,1,0,0,0,0,1
2010,0.5521330173029261,8.0,6.0,14.5,0,0,0,1,0,1,0,0,0,0,1
2012,0.6911470235803602,4.0,1.6,7.3,0,0,0,0,1,1,0,0,1,0,0
2019,0.3759784215366979,4.0,2.5,4.7,0,1,0,0,0,1,0,0,1,0,0
2020,0.3292757387265999,4.0,2.5,7.3,0,0,0,0,1,1,0,1,0,0,0
2019,0.7237665206499452,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2017,0.4641490445588621,4.0,1.2,5.6,0,0,0,1,0,1,0,0,1,0,0
2021,0.4531342295576867,4.0,2.5,7.4,0,0,0,0,1,1,0,1,0,0,0
2014,0.6832547800176579,4.0,1.6,6.4,0,0,0,0,1,0,1,0,1,0,0
2018,0.572400420415957,4.0,2.0,5.5,1,0,0,0,0,1,0,1,0,0,0
2005,0.7950462402921055,6.0,3.6,11.1,0,0,0,0,1,1,0,0,0,0,1
2018,0.5876561504661982,4.0,2.3,6.8,1,0,0,0,0,1,0,0,1,0,0
2021,0.3523161051634917,4.0,2.5,7.9,0,0,0,0,1,1,0,0,1,0,0
2017,0.411419827490309,4.0,1.4,5.9,0,0,0,0,1,1,0,0,1,0,0
2011,0.7488801700798497,4.0,2.0,7.7,0,0,0,1,0,1,0,1,0,0,0
2018,0.3050439799638509,4.0,1.5,4.9,0,0,0,0,1,1,0,0,1,0,0
2020,0.280848725538827,4.0,1.2,5.8,0,0,0,0,1,1,0,0,1,0,0
2019,0.5127978881452993,4.0,2.0,6.5,0,0,0,0,1,1,0,0,1,0,0
2019,0.2981015744027832,4.0,2.0,8.7,0,0,0,1,0,1,0,1,0,0,0
2023,0.0,4.0,1.5,8.1,0,0,0,1,0,1,0,0,1,0,0
2021,0.2832451802601406,4.0,2.0,6.1,0,0,0,1,0,1,0,0,1,0,0
2019,0.750145534418955,5.0,3.2,8.2,1,0,0,0,0,1,0,0,0,0,0
2023,0.0577961778011362,4.0,1.5,5.2,0,0,0,0,1,1,0,0,1,0,0
2004,0.9504864974763548,6.0,2.2,10.1,0,0,0,1,0,0,1,0,0,0,1
2023,0.086446477166814,4.0,2.0,8.1,0,0,0,1,0,1,0,1,0,0,0
2015,0.6383488391976707,4.0,3.0,8.5,1,0,0,0,0,1,0,0,0,0,0
2016,0.5387876250387147,4.0,3.0,8.1,1,0,0,0,0,1,0,0,0,0,0
2023,0.1327611488073847,4.0,2.0,6.3,0,0,0,0,1,1,0,0,1,0,0
2021,0.2841980036621881,3.0,1.3,7.3,0,0,0,0,1,1,0,0,1,0,0
2016,0.556025441445495,6.0,3.0,5.8,1,0,0,0,0,1,0,1,0,0,0
2008,0.6518751514982073,4.0,1.6,7.1,0,0,0,0,1,1,0,0,1,0,0
2016,0.7545660788332607,4.0,2.5,8.1,0,0,0,0,1,1,0,1,0,0,0
2014,0.4151963885017401,4.0,1.6,5.8,0,0,0,0,1,1,0,0,1,0,0
2017,0.8579439283203618,4.0,2.0,8.1,0,0,0,1,0,1,0,1,0,0,0
2022,0.0723193978331847,4.0,2.0,6.9,0,0,0,1,0,1,0,0,1,0,0
2023,0.0746921926143189,4.0,1.5,6.9,0,0,0,0,0,1,0,0,1,0,0
2017,0.6025813429264057,4.0,2.4,8.9,0,0,0,0,1,1,0,0,1,0,0
2023,0.0055210560834331,4.0,2.0,8.1,0,0,0,1,0,1,0,1,0,0,0
2009,0.6445941377688637,4.0,1.4,6.8,0,0,0,0,1,1,0,0,1,0,0
2007,0.8411571226931924,6.0,4.0,12.8,0,0,0,0,1,1,0,0,0,0,1
2016,0.6586018966434084,4.0,2.0,6.8,1,0,0,0,0,1,0,1,0,0,0
2023,0.0061801278843698,4.0,1.2,4.9,0,0,0,1,0,1,0,0,1,0,0
2016,0.441039648494858,4.0,2.0,7.9,0,0,0,1,0,1,0,1,0,0,0
2019,0.5230221009680008,4.0,2.5,7.4,0,0,0,0,1,1,0,1,0,0,0
2016,0.8298840166314232,4.0,1.4,5.4,0,0,0,1,0,1,0,0,1,0,0
2012,0.6403167143480497,4.0,1.8,7.4,0,0,0,0,1,1,0,0,1,0,0
2016,0.55834818008959,4.0,2.0,5.3,1,0,0,0,0,1,0,1,0,0,0
2015,0.7211596074836136,4.0,2.0,7.7,0,0,0,1,0,1,0,1,0,0,0
2016,0.7482981727671221,4.0,2.0,5.4,1,0,0,0,0,1,0,0,0,0,0
2015,0.9395467080963512,4.0,2.2,7.5,1,0,0,0,0,1,0,0,0,0,1
2021,0.180834634964964,4.0,2.2,8.2,1,0,0,0,0,1,0,1,0,0,0
2016,0.5650071137214767,6.0,3.5,10.3,0,0,0,1,0,1,0,0,0,0,0
2018,0.6616139707162496,4.0,3.0,7.7,1,0,0,0,0,1,0,0,0,0,0
2023,0.007911583593413,4.0,2.0,9.3,1,0,0,0,0,1,0,0,0,0,0
2020,0.4674985456779482,4.0,2.0,7.6,0,0,0,0,1,1,0,0,1,0,0
2018,0.6317687943602821,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2015,0.7670209910679696,4.0,2.0,5.4,1,0,0,0,0,1,0,0,0,0,0
2022,0.2053577259059867,6.0,3.5,10.5,0,0,0,1,0,1,0,0,0,0,0
2015,0.7433616618463024,4.0,1.8,7.4,0,0,0,0,1,1,0,0,1,0,0
2016,0.4703846164842353,4.0,2.0,5.3,0,0,0,1,0,1,0,0,1,0,0
2010,0.7332150632213233,4.0,2.7,11.2,0,0,0,0,1,1,0,0,0,0,1
2013,0.5461762792397403,8.0,6.0,12.4,0,0,0,0,1,1,0,0,0,0,1
2014,0.3628445054511181,3.0,1.2,4.9,0,0,0,0,1,1,0,0,1,0,0
2023,0.0050501770822211,4.0,2.0,8.6,0,0,0,1,0,1,0,1,0,0,0
2013,0.8219132131690561,6.0,3.0,8.9,0,0,0,0,1,1,0,0,0,0,1
2019,0.3292550105802542,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2013,0.5525363505382291,4.0,1.6,5.6,1,0,0,0,0,1,0,0,1,0,0
2023,0.00203057290294,4.0,1.5,7.7,0,0,0,0,1,1,0,0,1,0,0
2012,0.8622563358949766,6.0,3.0,10.1,0,0,0,1,0,1,0,0,0,0,0
2022,0.0523003046182125,4.0,2.5,7.5,0,0,0,0,1,1,0,0,1,0,0
2022,0.2385539307416089,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2017,0.5347068309749101,4.0,1.2,5.5,0,0,0,1,0,1,0,0,1,0,0
2019,0.3613205476512448,4.0,2.5,7.9,0,0,0,0,1,1,0,0,1,0,0
2009,0.952192022022974,4.0,2.4,9.9,0,0,0,0,1,1,0,0,1,0,0
2013,0.6667224440875879,6.0,3.6,9.8,0,0,0,0,1,1,0,0,0,0,1
2018,0.7382278806581969,5.0,3.2,8.4,1,0,0,0,0,1,0,0,0,0,1
2014,0.7358443183103494,4.0,2.5,8.1,1,0,0,0,0,0,1,0,0,0,0
2005,0.8159411573887412,6.0,3.0,10.5,0,0,0,0,1,1,0,0,1,0,0
2013,0.6586401768836366,4.0,2.5,7.4,0,0,0,0,1,1,0,1,0,0,0
2018,0.3256225946341604,4.0,2.0,6.7,1,0,0,0,0,1,0,1,0,0,0
2018,0.524158076182959,4.0,2.7,10.9,0,0,0,0,1,1,0,0,0,0,1
2011,0.6485627728952459,4.0,2.0,8.2,0,0,0,0,1,1,0,0,1,0,0
2020,0.50299341459613,4.0,2.5,8.1,0,0,0,0,1,1,0,0,1,0,0
2019,0.6086076288655952,4.0,3.0,7.7,1,0,0,0,0,1,0,0,0,0,0
2018,0.4130514823494804,4.0,2.0,7.6,0,0,0,0,1,1,0,0,1,0,0
2021,0.3984280551437474,4.0,2.5,8.1,0,0,0,0,1,1,0,0,1,0,0
2021,0.3488111418493124,4.0,1.4,6.2,0,0,0,1,0,1,0,0,1,0,0
2014,0.4566813791972625,4.0,2.4,8.5,0,0,0,0,1,1,0,0,1,0,0
2015,0.4052916865120243,4.0,1.2,4.8,0,0,0,1,0,0,1,0,1,0,0
2014,0.7839153032683457,4.0,2.0,5.7,0,0,0,0,1,1,0,0,1,0,0
2016,0.7504648831854877,4.0,2.0,5.2,1,0,0,0,0,1,0,1,0,0,0
2013,0.6690696337785793,4.0,2.0,6.4,1,0,0,0,0,1,0,1,0,0,0
2021,0.3059277282263618,4.0,1.6,6.8,0,0,0,0,1,1,0,0,1,0,0
2019,0.6385885780830093,5.0,3.2,8.2,1,0,0,0,0,1,0,0,0,0,1
2018,0.4450818114805495,4.0,2.0,7.2,0,0,0,0,1,1,0,0,1,0,0
2023,0.0055210560834331,4.0,2.4,8.6,1,0,0,0,0,1,0,0,0,0,0
2019,0.4632136256027709,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2006,0.6135041608536365,4.0,1.5,6.1,0,0,0,0,1,1,0,0,1,0,0
2017,0.5596189208835659,4.0,2.5,8.8,1,0,0,0,0,1,0,0,0,0,1
2015,0.7454508993996102,4.0,1.4,6.2,0,0,0,0,1,1,0,0,1,0,0
2022,0.0411256664266866,4.0,1.5,8.1,0,0,0,1,0,1,0,0,1,0,0
2020,0.4320902137869221,4.0,2.0,7.2,0,0,0,0,1,1,0,0,1,0,0
2021,0.299554528097177,4.0,2.8,7.6,1,0,0,0,0,1,0,0,0,0,0
2022,0.2514499513902544,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2015,0.8173560247540542,4.0,3.0,8.1,1,0,0,0,0,0,1,0,0,0,1
2014,0.6658246063451756,4.0,2.0,8.2,0,0,0,0,1,0,1,0,1,0,0
2014,0.6953364313449477,4.0,1.8,6.6,0,0,0,0,1,1,0,0,1,0,0
2010,0.7106387320350347,6.0,2.7,10.3,0,0,0,1,0,1,0,0,1,0,0
2016,0.8084171741343396,5.0,3.2,9.2,1,0,0,0,0,1,0,0,0,0,0
2022,0.0828313254388256,4.0,2.0,6.8,0,0,0,1,0,1,0,0,1,0,0
2009,0.9345136564488196,4.0,2.5,9.3,0,0,0,0,1,1,0,1,0,0,0
2015,0.7595669700261065,4.0,2.5,9.3,1,0,0,0,0,1,0,0,0,0,0
2023,0.0071801416727758,4.0,2.5,7.5,0,0,0,0,1,1,0,1,0,0,0
2019,0.5431448779949357,6.0,3.5,9.3,0,0,0,0,1,1,0,0,1,0,0
2022,0.0052891290118827,4.0,2.5,8.8,0,0,0,0,1,1,0,1,0,0,0
2020,0.374772455029472,4.0,2.0,7.4,0,0,0,0,1,1,0,0,1,0,0
2017,0.5028353579139366,6.0,3.5,9.9,0,0,0,1,0,1,0,0,1,0,0
2016,0.7530725274450414,4.0,2.8,8.1,1,0,0,0,0,0,1,0,0,0,1
2010,0.7723751375100396,6.0,3.0,9.3,0,0,0,0,1,1,0,0,0,0,1
2019,0.4586292337709106,4.0,1.5,6.9,0,0,0,0,1,1,0,0,0,0,0
